Fast Lead Export Inventory Report,,,,
Version,5.0.0,,,
Source Sheet,Truckers,,,
Started At,7/20/2026,,,
Completed At,7/20/2026,,,
Source Rows Available,28544,,,
Rows To Scan,28544,,,
Rows Scanned,28544,,,
,,,,
Skipped / Excluded Summary,,,,
Previously Pulled Skipped,6358,,,
Off-Limit Campaigns Skipped,0,,,
Duplicates Skipped,2567,,,
Invalid Dates Skipped,1,,,
Invalid States Skipped,411,,,
,,,,
Bucket Totals,,,,
Lead Age Bucket,Available Leads,,,
1-3 months,775,,,
3-6 months,3117,,,
6+ months,14815,,,
,,,,
State Breakdown,,,,
State,1-3 months,3-6 months,6+ months,Total Available
AB,0,0,1,1
AK,0,2,11,13
AL,25,117,515,657
AR,9,50,297,356
AS,0,0,1,1
AT,0,0,1,1
AZ,20,82,309,411
BC,0,2,0,2
CA,24,315,1350,1689
CO,8,46,186,240
CS,1,0,0,1
CT,7,41,127,175
DC,1,12,8,21
DE,2,22,67,91
DO,0,0,3,3
DR,0,0,1,1
ES,1,0,0,1
FC,0,1,1,2
FF,0,1,0,1
FL,37,185,1246,1468
GA,19,130,1280,1429
GO,1,0,0,1
HC,0,0,1,1
HE,0,0,1,1
HI,4,1,18,23
HX,0,1,0,1
IA,7,44,161,212
ID,5,24,110,139
IL,32,214,693,939
IN,28,30,205,263
IS,0,1,0,1
KS,11,35,124,170
KY,23,57,266,346
LA,35,124,403,562
LD,0,0,1,1
MA,10,43,98,151
MD,13,92,344,449
ME,1,5,37,43
MI,13,8,282,303
ML,0,0,1,1
MN,12,45,162,219
MO,22,96,392,510
MS,41,108,465,614
MT,7,8,49,64
MY,0,1,4,5
NB,0,0,2,2
NC,32,27,181,240
ND,4,11,50,65
NE,0,1,93,94
NH,2,5,21,28
NI,0,1,0,1
NJ,52,153,440,645
NM,5,7,79,91
NO,0,0,1,1
NV,11,42,190,243
NY,27,72,286,385
OF,0,0,3,3
OH,6,34,140,180
OK,6,11,282,299
ON,0,1,3,4
OR,5,38,106,149
PA,51,67,103,221
RD,0,0,1,1
RI,0,9,21,30
RJ,0,0,1,1
SC,22,111,120,253
SD,3,17,43,63
SP,0,0,1,1
ST,0,0,1,1
TN,41,144,486,671
TO,0,0,1,1
TX,40,234,1856,2130
UK,0,0,1,1
US,0,1,1,2
UT,11,33,149,193
VA,13,40,378,431
VT,0,0,11,11
WA,1,31,215,247
WI,18,70,220,308
WV,4,9,64,77
WY,2,5,43,50
ZL,0,0,1,1
