Fast Lead Export Inventory Report,,,,
Version,5.0.0,,,
Source Sheet,Vet FEX,,,
Started At,7/20/2026,,,
Completed At,7/20/2026,,,
Source Rows Available,249488,,,
Rows To Scan,249488,,,
Rows Scanned,249488,,,
,,,,
Skipped / Excluded Summary,,,,
Previously Pulled Skipped,24509,,,
Off-Limit Campaigns Skipped,0,,,
Duplicates Skipped,62132,,,
Invalid Dates Skipped,10013,,,
Invalid States Skipped,5484,,,
,,,,
Bucket Totals,,,,
Lead Age Bucket,Available Leads,,,
1-3 months,21104,,,
3-6 months,37709,,,
6+ months,88536,,,
,,,,
State Breakdown,,,,
state,one_to_three_months,three_to_six_months,six_plus_months,total_available
AF,0,0,1,1
AI,0,0,1,1
AK,22,115,236,373
AL,630,822,2358,3810
AP,0,1,0,1
AR,323,616,1351,2290
AS,0,1,6,7
AT,1,2,0,3
AV,0,0,1,1
AX,0,0,1,1
AZ,517,927,1167,2611
BA,0,1,1,2
BB,1,1,0,2
BD,0,0,1,1
BE,0,0,2,2
BH,0,0,1,1
BY,0,0,2,2
CA,1502,2742,6280,10524
CM,0,0,1,1
CO,194,363,1047,1604
CP,0,0,1,1
CR,0,0,1,1
CT,128,289,704,1121
DC,34,54,92,180
DE,75,168,347,590
DO,0,1,4,5
DR,1,3,4,8
EL,0,0,1,1
EW,0,2,1,3
EX,0,0,1,1
FA,0,1,0,1
FE,0,1,0,1
FL,2133,3282,8222,13637
FM,0,0,1,1
FO,0,0,1,1
FT,0,1,0,1
GA,1132,2154,4560,7846
GE,0,0,1,1
GO,0,0,1,1
GS,0,0,1,1
HA,0,2,5,7
HI,85,204,447,736
HO,0,0,3,3
IA,170,361,934,1465
ID,68,174,430,672
IL,508,1100,2474,4082
IN,484,790,2104,3378
IS,0,2,1,3
IT,0,0,2,2
JC,0,1,0,1
JJ,0,1,0,1
KC,0,0,1,1
KD,0,0,1,1
KE,1,0,0,1
KS,173,275,817,1265
KY,200,569,1882,2651
LA,444,802,1751,2997
LI,0,1,0,1
LL,2,2,9,13
LN,1,0,6,7
LU,0,0,1,1
MA,207,513,1331,2051
MC,0,2,1,3
MD,365,748,1416,2529
ME,76,233,498,807
MF,0,0,1,1
MI,560,1129,2493,4182
MJ,0,0,1,1
ML,0,0,4,4
MM,0,0,1,1
MN,202,468,839,1509
MO,402,754,2098,3254
MR,0,0,2,2
MS,368,578,1260,2206
MT,65,139,365,569
MV,0,0,1,1
MY,1,3,3,7
NA,0,1,1,2
NB,0,0,1,1
NC,1095,1649,3762,6506
ND,50,77,139,266
NE,122,223,551,896
NH,81,190,368,639
NJ,358,703,1793,2854
NM,148,262,671,1081
NO,2,3,14,19
NS,1,0,0,1
NT,0,1,0,1
NV,197,406,873,1476
NW,0,0,1,1
NY,353,659,1532,2544
OF,0,8,17,25
OH,732,1212,3104,5048
OK,429,749,1838,3016
ON,1,1,5,7
OR,142,378,1021,1541
OS,0,0,1,1
OT,1,0,0,1
PA,769,1294,2892,4955
PP,0,0,1,1
PR,0,3,4,7
PS,0,1,0,1
QC,1,0,0,1
RD,1,2,9,12
RI,35,97,184,316
RJ,1,0,0,1
RK,0,0,1,1
RR,0,0,1,1
RX,0,0,1,1
SA,1,1,1,3
SC,618,1115,2067,3800
SD,64,110,266,440
SO,0,1,3,4
SP,0,1,0,1
SR,1,0,0,1
SS,0,1,0,1
ST,1,5,6,12
SZ,0,0,1,1
TD,0,0,1,1
TE,0,0,1,1
TH,0,1,0,1
TN,676,994,2554,4224
TO,1,2,3,6
TX,2328,3960,9423,15711
UH,0,0,1,1
US,4,3,9,16
UT,80,160,470,710
VA,794,1338,3310,5442
VI,0,0,1,1
VT,21,60,84,165
WA,385,748,1775,2908
WI,313,580,1333,2226
WN,0,2,1,3
WV,178,250,734,1162
WY,44,60,125,229
YX,1,0,0,1
